"from","to","ownership_id","date","amount"
"82695041853","69س652","614859","2013-07-22","266439000"
"90658966152","45ب663","537586","1978-12-03","81937000"
"90658966152","37ق751","403338","2004-03-29","129790000"
"90658966152","94و755","175877","2006-08-26","362843000"
"35269648837","2227680951","482856","2009-02-18","503516000"
"35269648837","89ج900","188957","2016-01-29","385551000"
"35269648837","59ب533","607621","1991-05-30","145478000"
"35269648837","91ق620","161715","1973-09-14","233164000"
"17955406961","77ر343","426297","2000-03-31","22185000"
"61906577829","9885845256","286160","1993-02-03","199706000"
"61906577829","4878343317","640663","2013-06-25","618268000"
"61906577829","65ر258","606936","1976-02-07","293421000"
"61906577829","73ی610","198471","1970-03-11","49520000"
"61906577829","94ط747","202143","1976-09-25","366355000"
"19368104837","10ی755","325891","1982-12-23","148104000"
"19368104837","53و053","910638","1974-03-31","215425000"
"38277377542","8777810349","523728","2001-10-01","322248000"
"38277377542","5750083054","547465","2004-08-28","743139000"
"60945870624","1998147929","694131","2001-01-30","748688000"
"60945870624","7104817567","468981","1982-11-18","335610000"
"60945870624","95ی627","407986","1987-03-21","305266000"
"60945870624","76ج444","724204","2006-01-27","246158000"
"83835032529","1920134881","933612","1987-08-01","765114000"
"83835032529","78ج532","386579","1986-06-17","140390000"
"83835032529","36ر703","731990","2001-11-25","116055000"
"77805236146","12و147","528623","1982-08-30","42153000"
"77805236146","85ق429","600911","2011-11-16","395813000"
"50789923791","7581362370","867159","1987-12-12","543991000"
"50789923791","1865243861","345549","2014-06-18","532852000"
"50789923791","37ی499","991506","1971-02-02","141397000"
"75188360509","47ب259","272624","2015-10-22","364365000"
"97200757561","55ق013","794429","2014-06-16","20263000"
"83380079990","5930571804","758250","1980-07-02","112068000"
"84081487293","2400069094","785977","1998-09-28","646632000"
"84081487293","51و881","361446","2016-03-29","293315000"
"72389243078","4575970206","799616","1974-05-10","322818000"
"72389243078","4640020085","304432","2011-10-30","674532000"
"72389243078","86ب716","834193","1974-03-13","141815000"
"72389243078","73س056","880031","1983-07-01","120395000"
"64667884361","17ر546","595609","2000-03-23","243658000"
"16486105460","2969275892","666679","2007-03-04","319834000"
"16486105460","4732662129","178559","1970-10-23","410029000"
"16486105460","57ر874","621222","1976-01-21","214055000"
"16486105460","90ج371","753458","1991-09-24","310866000"
"16486105460","76ب889","380103","1981-06-30","150849000"
"48774012400","1510388496","810899","1989-01-01","570423000"
"48774012400","9311230748","514193","1979-02-07","735637000"
"48774012400","64س407","220498","1972-04-25","342316000"
"81641906472","5663320911","529103","1999-12-24","484300000"
"81641906472","11س172","617857","2008-10-02","325310000"
"81641906472","27ب122","452300","1978-10-31","20844000"
"81641906472","14ی912","582204","2006-09-10","316542000"
"11366749163","26س310","551956","1984-06-26","382656000"
"11366749163","56و165","720602","2004-10-28","342806000"
"91095071770","8465466084","483414","2008-07-17","741658000"
"91095071770","37ر424","908489","2002-09-27","160808000"
"54681738028","4564914991","264586","1991-03-15","195311000"
"54681738028","42س024","637186","2018-11-09","36186000"
"54681738028","56ی571","390000","2013-10-31","139721000"
"54681738028","16و754","431521","1983-08-27","172238000"
"60438027264","9304268785","452334","2012-01-15","107165000"
"60438027264","19و838","109625","1990-09-09","58729000"
"60438027264","69ب062","806193","1996-01-29","371588000"
"60438027264","39س918","754758","2003-03-06","224273000"
"27162969769","64ب701","202138","1974-12-19","95480000"
"27162969769","48س559","629289","2002-07-30","313609000"
"82981818558","1665125357","820833","2011-06-29","456464000"
"82981818558","2960441530","319778","1976-09-17","239345000"
"82981818558","96و773","404849","1974-08-20","279842000"
"66757641347","1780726577","907732","1994-07-08","466599000"
"66757641347","39ط990","281015","1971-02-28","310341000"
"15555545826","8647278148","844380","2015-12-15","215504000"
"15555545826","3172541836","108560","2009-07-30","789109000"
"86067717637","2289565028","412082","2017-07-06","582796000"
"86067717637","39ی870","681989","2001-08-01","123569000"
"60772492871","58ق331","791091","2019-09-21","273129000"
"60772492871","65ب855","788722","2008-03-04","42060000"
"15989545520","7621956887","395313","1998-12-01","291286000"
"15989545520","38س869","527924","1974-04-14","225685000"
"18912940216","82و652","549180","2000-01-21","247892000"
"24573949919","20ی627","626218","1985-04-15","319974000"
"24573949919","51ی728","623172","2010-07-04","238050000"
"51462053069","8838908437","303768","2000-01-17","553094000"
"51462053069","3407142236","538387","1984-04-16","515294000"
"51462053069","73س106","553648","1978-03-07","243172000"
"24846266049","81و999","922330","2010-05-28","306094000"
"24846266049","41س120","710417","1986-02-05","295768000"
"10469142066","66ر536","635014","1972-05-19","151506000"
"42051321657","2990904025","790588","1994-07-26","335393000"
"42051321657","88ب606","845554","1995-10-07","269197000"
"42051321657","47ط586","572908","1992-04-20","283595000"
"42051321657","54و444","155474","1981-05-29","215599000"
"54184802585","4312558860","638896","1983-06-09","636486000"
"54184802585","3418667484","814108","2019-12-23","251615000"
"91669402703","9250951851","530240","2011-10-20","216520000"
"91669402703","4443522376","857583","1998-02-14","423650000"
"28054989858","3350104281","794624","1973-08-14","387070000"
"15674045599","8685568522","428759","2016-08-19","143020000"
"15674045599","98و992","420595","1986-12-18","203410000"
"15674045599","72ق704","733060","2005-01-27","145461000"
"76531266922","6259986603","239068","1998-03-04","694369000"
"17356360726","4305807793","324363","1971-05-21","493944000"
"59363981901","82ج841","885159","1979-07-03","289548000"
"88531255679","4832251701","589449","1984-05-29","345996000"
"88531255679","75ب951","201465","2006-11-18","293292000"
"88531255679","38ج387","117483","1973-11-15","388235000"
"54781252693","8927680798","895794","2009-08-18","100747000"
"54781252693","4715628107","973018","2016-05-04","380464000"
"54781252693","89ی047","492928","1990-07-06","163666000"
"58667472533","3041230071","408490","1978-10-03","311824000"
"58667472533","7958229293","522752","2011-02-20","203178000"
"72091808539","2358348871","677871","2011-05-17","571527000"
"72091808539","72ط697","933083","1980-03-24","340023000"
"72091808539","99ق993","301218","2000-01-25","31735000"
"33382270826","3523610096","431906","1973-05-21","675513000"
"33382270826","2016836543","902042","1986-05-19","144822000"
"33382270826","22و860","159693","1972-09-15","358392000"
"33382270826","90ط707","929422","1972-01-11","85149000"
"33382270826","15ق703","629531","1994-11-03","50008000"
"99959319462","6636249518","658507","2018-01-29","496203000"
"99959319462","9349430909","165758","2011-09-22","504590000"
"99959319462","14س016","672786","2012-08-25","299414000"
"30515300029","67س980","487873","1985-12-02","63655000"
"30515300029","62س991","460163","1995-07-15","142916000"
"30515300029","91ج649","966058","2012-08-15","265197000"
"44138149119","1681672920","778342","1997-08-11","137234000"
"44138149119","6086562766","609502","1985-09-26","333980000"
"84457778893","57ر364","697989","2002-10-02","331016000"
"56921280888","7927690646","241059","2015-01-13","490201000"
"56921280888","50و742","197659","2018-06-23","32684000"
"56921280888","82س844","142596","1977-12-05","385332000"
"56921280888","90ج310","766063","2017-07-25","105042000"
"31219853873","9239236123","560565","1990-09-29","740689000"
"31219853873","2641201138","176745","1977-06-14","169008000"
"31219853873","64ق284","634861","1993-04-13","158393000"
"31219853873","64ط266","299390","1985-02-25","378505000"
"63952813425","2587978024","197383","1993-06-26","688922000"
"63952813425","7799203645","607893","1989-07-10","687921000"
"63952813425","29ر280","186067","2013-02-17","185084000"
"63952813425","93و733","689743","2007-11-09","355705000"
"63952813425","22ط473","608623","1971-03-10","187481000"
"13594400683","7451904638","884545","2008-03-18","533418000"
"13594400683","85ی554","630192","1989-06-24","194832000"
"13594400683","50ی587","252239","1991-10-03","45529000"
"21119123460","8913855350","759368","2006-05-07","111063000"
"21119123460","9346481901","254780","2008-01-14","493558000"
"21119123460","30ق460","193738","1999-08-15","147238000"
"21119123460","68ق275","227403","1996-11-16","71907000"
"68474551800","21ب131","149179","2007-02-28","332061000"
"68474551800","27و321","555278","1976-04-17","275189000"
"62953855869","2356443446","317146","2003-01-14","410938000"
"62953855869","16ی559","136189","2002-02-22","384574000"
"62953855869","19ق096","530487","1996-10-07","214940000"
"62953855869","41ج515","361177","2009-01-12","362880000"
"31361229922","6614639144","274268","2006-01-02","698418000"
"31361229922","43ج556","382057","1970-05-18","200566000"
"31361229922","90ی031","862904","2019-02-20","240664000"
"23196485560","74ط607","360938","1974-01-21","399913000"
"84261499409","85ق052","946434","1996-04-08","379551000"
"84261499409","56ط406","955241","1971-11-11","235591000"
"52201961948","3693614460","697497","2000-05-07","730449000"
"11181831447","2798408945","470243","1992-11-07","187250000"
"11181831447","7562016110","772574","1974-07-21","550761000"
"11181831447","24ق934","104498","2007-05-16","191108000"
"11181831447","45ط353","316343","2019-12-12","74388000"
"35117012614","1834925296","822467","2010-05-14","590807000"
"96366989930","65س618","997267","1978-06-18","183905000"
"30984622291","3594390752","313567","1981-05-20","389767000"
"30984622291","1904452680","231171","2006-03-09","508048000"
"30984622291","49ج671","358866","1973-08-05","352654000"
"62722354461","8911538144","773413","1990-11-29","378475000"
"62722354461","9086497999","936999","1996-01-31","387221000"
"62722354461","76ر454","718290","1994-12-27","147037000"
"81518350426","7530154271","134015","1984-11-24","343262000"
"81518350426","5788115346","986891","1972-09-19","680606000"
"81518350426","84ج533","622033","2011-03-11","117441000"
"81518350426","82ی370","386961","1972-03-08","121506000"
"81518350426","71ق102","414562","1990-08-16","196658000"
"64041728588","2112425792","463722","2015-12-15","658151000"
"64041728588","63ط607","361064","1984-11-10","225093000"
"64041728588","49ط670","504180","1981-04-08","249915000"
"64041728588","88س508","961947","2010-09-25","324302000"
"58230277013","8441030145","789311","2009-06-20","243956000"
"58230277013","7007999360","762105","1975-03-28","154377000"
"87949148416","28ق640","153848","1991-10-01","111635000"
"37347569868","9451211329","335997","1978-11-14","112079000"
"84366680330","4882282911","358579","1989-10-02","616279000"
"99675858518","9885829995","338900","1981-08-07","722513000"
"99675858518","37و175","815589","1979-02-17","362827000"
"99675858518","86ج893","656985","1992-06-26","241785000"
"47006147676","5330115596","757379","1987-09-20","728917000"
"47006147676","1692132616","655925","1997-03-05","228884000"
"47006147676","51ط610","912199","1994-08-18","155469000"
"47006147676","73ی880","748989","2002-08-03","319528000"
"39851186262","34ط733","655582","1983-12-06","290524000"
"39851186262","17س649","127609","1990-05-15","164067000"
"39851186262","84ر213","983674","2016-10-19","335249000"
"33798515867","9822014370","875990","1990-12-25","388061000"
"33798515867","9115291389","517164","2002-03-24","518853000"
"33798515867","26ی076","606408","2006-07-17","108669000"
"59749890438","62س435","430168","1984-05-18","387551000"
"59749890438","93و289","641493","1992-12-03","22188000"
"59749890438","69ق064","935974","1983-12-21","30842000"
"36094344321","6537150016","708567","1985-01-10","361388000"
"36094344321","42ی915","157898","1971-07-12","146664000"
"36094344321","46و653","641370","1985-03-12","120001000"
"36094344321","60و292","986785","2010-03-10","178234000"
"21304141535","4367297012","520537","2009-02-16","158671000"
"21304141535","30و058","268885","1973-04-29","219877000"
"21304141535","50ج937","353462","2016-05-19","245689000"
"21304141535","15ی886","554051","1973-01-13","172499000"
"91904816305","97ر866","233154","1975-11-25","264074000"
"91904816305","84ب218","647022","2015-08-11","160018000"
"71200491770","7085787424","458338","1982-11-18","535347000"
"71200491770","9939110420","853398","1996-10-12","717456000"
"71473035678","12ب643","585713","1972-01-24","157885000"
"41443971826","4713051463","778437","1987-04-22","325296000"
"41443971826","4775067362","658222","1973-01-23","321094000"
"70411815200","9890450099","696022","2003-10-27","324660000"
"70411815200","44ط501","207479","2015-05-14","210755000"
"70411815200","37ط383","137356","1988-12-05","253548000"
"70411815200","21ب334","970217","1992-12-04","284583000"
"48896494973","1155202425","674396","1997-12-05","193067000"
"48896494973","9415639647","719488","1991-11-16","142397000"
"48896494973","72س852","461324","1997-03-09","104158000"
"48896494973","72ر142","857863","2014-05-15","340719000"
"48896494973","94ق362","489577","2001-05-23","92953000"
"31743216038","3316710174","899766","2014-01-24","320278000"
"31743216038","6048552433","177475","2018-01-21","458016000"
"31743216038","28ی679","933466","2009-04-27","240540000"
"31743216038","56ق237","540356","1988-05-16","89957000"
"31743216038","51و092","473035","2003-03-13","296994000"
"47141638313","36س314","395613","1990-06-27","385925000"
"34745169707","6153246796","854762","1979-09-04","670014000"
"34745169707","9353500800","591632","1995-12-13","734872000"
"34745169707","36س940","311924","1995-12-21","103487000"
"34745169707","60ی063","850461","2009-03-18","133229000"
"34745169707","38و002","190078","1985-02-26","164871000"
"29590670131","5126610241","142957","1987-08-02","621912000"
"29590670131","74ط913","667071","2017-11-03","387684000"
"85688640004","40ی371","867304","2015-04-25","179863000"
"85688640004","92ج650","802101","2019-10-29","312600000"
"85688640004","80س901","616748","2012-03-25","22808000"
"43158416548","4664466825","283020","2015-12-23","433478000"
"11836038130","3603302371","184206","1990-04-22","600589000"
"11836038130","83ب536","916076","2003-11-20","355933000"
"11836038130","93و976","192441","1976-11-07","143643000"
"11836038130","43س809","165283","1977-03-20","187858000"
"79567899103","6180197022","814803","2008-05-16","503292000"
"93961615456","5136637516","352670","1994-04-23","109080000"
"93961615456","7199155842","344808","1982-04-30","754191000"
"93961615456","67ر487","116454","1983-03-02","259590000"
"93961615456","19ر309","279358","2018-01-29","242012000"
"93961615456","15و864","235923","2004-08-13","150298000"
"92882373444","9643393184","912622","2005-10-14","292854000"
"92882373444","19ر716","682939","1983-02-18","165255000"
"92882373444","12ط718","773314","1975-09-06","269717000"
"92882373444","79ج310","637316","1986-05-22","123707000"
"34494253424","7193790270","103882","2015-10-16","606578000"
"34494253424","4115181187","665496","1973-06-14","394153000"
"34494253424","44ق974","644054","2008-11-26","217389000"
"34494253424","26ی400","609659","1994-06-16","65711000"
"34494253424","80ط007","986880","2000-12-30","206386000"
"42301945807","7424888009","477089","2006-05-03","100521000"
"42301945807","3261780914","810755","1999-01-24","604775000"
"42301945807","82ط061","747117","2000-05-19","109009000"
"42301945807","92و455","820387","2003-09-09","342751000"
"42301945807","16ی420","343280","2016-07-23","335944000"
"36230612373","8415004145","451826","1981-10-29","342546000"
"36230612373","2619682186","417418","2015-07-27","236416000"
"36230612373","49س610","982036","1992-09-22","346828000"
"36230612373","28و158","548775","2015-05-09","94341000"
"36230612373","73ب962","842168","1970-04-08","39556000"
"54455789504","6466887860","268541","2008-07-03","699565000"
"54455789504","3081685630","412456","1983-05-15","308622000"
"54455789504","10و991","631424","2007-01-18","230670000"
"69222695878","2038139473","468213","2006-02-19","229538000"
"69222695878","21و269","208861","2003-07-14","361032000"
"69222695878","78و080","932591","2017-08-11","314837000"
"81221611825","77س721","948742","2013-01-29","389173000"
"81221611825","54ر731","916515","2012-01-14","393029000"
"79594008713","43س100","209041","2018-02-13","146117000"
"79594008713","28ب502","782191","2014-12-10","123662000"
"76540852364","1809211818","691824","1987-02-07","121344000"
"76540852364","7774985316","518222","1991-11-15","482373000"
"66101606946","4215446879","177306","2002-01-12","246988000"
"66101606946","9402537769","241152","1975-04-03","479316000"
"66101606946","91س100","933602","1996-05-07","115932000"
"66101606946","52س661","360111","2014-07-30","324861000"
"40341869760","2958500865","190436","2007-12-24","740628000"
"40341869760","38ق422","714476","1998-07-02","342607000"
"52598975833","7502263466","815067","1981-05-29","726464000"
"52598975833","27ی982","902774","1980-11-09","169370000"
"52598975833","60ج863","430915","1973-09-02","50279000"
"52598975833","54ب594","910809","2000-10-28","35716000"
"78270990846","5074332916","837070","1988-08-16","354915000"
"78270990846","7068577337","506465","2005-03-16","155042000"
"78270990846","96ر833","830713","1986-02-14","397743000"
"88866642887","8563844882","185604","1999-07-18","400524000"
"88866642887","9674846488","580273","1971-05-05","667829000"
"88866642887","67و103","607552","2014-09-24","235759000"
"88866642887","74ب758","210860","2009-11-11","250829000"
"71967240259","5096944251","943046","1988-03-06","754135000"
"71967240259","77ط704","501643","1974-06-17","77391000"
"71967240259","31ج738","988474","1994-10-06","44789000"
"98958611431","34ق405","114482","2013-07-02","245808000"
"98958611431","38ج654","848411","1988-01-21","365438000"
"98958611431","67س575","786930","1987-05-19","34614000"
"14300397628","8041672214","171626","2008-05-01","514023000"
"14300397628","1302817931","569392","1985-05-25","601888000"
"50349171871","76ق130","716423","2010-07-30","37281000"
"50349171871","10س897","199911","2016-02-03","91241000"
"50349171871","18ر352","567878","1977-10-19","396500000"
"28659707225","5741721348","561629","1984-11-27","695222000"
"28659707225","4959991191","351851","2010-01-06","784360000"
"28659707225","45ق240","441809","1998-03-22","249357000"
"28659707225","29ج201","735154","2008-01-27","249619000"
"28659707225","72ق400","259274","2009-12-11","247110000"
"64205952700","5827481390","336271","2001-10-14","155960000"
"64205952700","4186259652","564761","1979-11-02","612093000"
"64205952700","34ی921","811783","2011-04-13","331958000"
"84613874181","73ب215","103555","1981-01-12","244237000"
"53435917180","3599110078","463255","2000-06-16","563902000"
"11835777041","7537544163","142121","2012-03-29","422981000"
"11835777041","8548191813","331855","1999-11-04","736615000"
"11835777041","55ق122","543431","1971-12-23","206533000"
"11835777041","59ج894","542168","1977-01-17","310168000"
"78399309554","31ق776","282648","1975-08-13","79145000"
"78399309554","89س201","670837","2013-05-29","110260000"
"82531991740","8015532963","909828","2006-04-09","631880000"
"82531991740","1156465624","298866","2012-05-09","180701000"
"82531991740","76ی095","946631","1987-05-12","22788000"
"82531991740","51ط337","111242","1999-07-04","157033000"
"82531991740","37س513","717801","1992-03-30","103010000"
"88720151854","4326296990","944322","1980-04-01","697074000"
"88720151854","34ی327","631459","1970-01-06","380112000"
"85487020356","5389108312","721411","1975-07-30","474807000"
"85487020356","30ر327","938401","2007-07-07","108180000"
"62185951858","3349264019","439949","1975-02-04","458448000"
"62185951858","83و723","815608","2015-04-08","230149000"
"62185951858","81ج169","353374","1987-05-05","186775000"
"62185951858","50ب397","935883","1971-08-16","349469000"
"74071798130","8949564150","727924","2015-06-27","324426000"
"74071798130","92و655","180392","2001-12-11","44989000"
"80065213988","30ج066","745443","2010-01-25","167394000"
"94618677046","8117944191","985747","1983-10-29","409697000"
"94618677046","4917312598","977237","1975-03-23","257670000"
"94618677046","15ج919","705631","1998-08-02","200539000"
"94618677046","16ج529","493667","1987-02-26","398685000"
"15897356292","2643228327","766133","2000-04-02","650151000"
"15897356292","49ب187","557395","1998-11-07","27628000"
"15897356292","44ط830","284109","1974-03-28","148014000"
"15897356292","88ب675","551732","1993-05-08","187389000"
"15871936612","11ط083","632494","1986-06-22","293238000"
"15871936612","57ج218","916912","1971-02-21","216748000"
"83811330390","8036257512","796569","1989-09-23","459287000"
"83811330390","7447023948","657787","1995-02-19","266460000"
"38071937576","17و400","389419","2013-03-15","23101000"
"38071937576","74ق300","145905","1984-12-11","24368000"
"38071937576","63ط886","423400","1979-04-02","169289000"
"74518390982","3747830731","115152","2007-05-24","348484000"
"74518390982","1890402227","405805","1984-02-08","254833000"
"74518390982","16س070","814804","2009-12-21","81393000"
"43532905746","4342930672","683958","1987-11-21","548206000"
"43532905746","3201690532","613247","1985-01-10","695286000"
"43532905746","90ق179","164778","1983-02-26","98601000"
"69535309095","60ر657","943810","2004-11-26","151126000"
"69535309095","59ب026","962210","1985-04-23","92121000"
"69535309095","76ب268","912231","2004-07-19","131128000"
"26994377327","4377863518","490774","2011-10-03","297457000"
"26994377327","58س609","412666","2001-05-08","200901000"
"26994377327","25س964","289988","1989-12-23","265868000"
"26994377327","43و000","268955","2001-05-18","286315000"
"54762922763","43ج389","547927","1991-03-11","332940000"
"54762922763","57ط929","573249","1989-08-04","376497000"
"54762922763","45ق048","824950","2014-10-28","297657000"
"47163433461","3068352006","398462","2000-02-18","134050000"
"47163433461","6590935684","446226","1991-01-15","248596000"
"47163433461","95ط936","443832","2006-07-20","91964000"
"47163433461","32ج338","591279","1991-05-06","341445000"
"37243753151","59ی506","314182","2006-05-02","360880000"
"37243753151","38ج398","643719","1984-03-11","154050000"
"71766160976","80ط306","517511","1980-09-11","286797000"
"71766160976","25و399","136167","1995-02-12","50185000"
"41901332469","55ب262","361123","1999-02-20","372165000"
"60982934276","97س713","587073","1983-08-29","140334000"
"60982934276","40ی448","550416","2002-02-16","187261000"
"84939499648","39ط514","883383","1974-12-27","367510000"
"84939499648","38ب729","553223","2004-01-21","248707000"
"16804603009","8457149655","609943","1979-11-04","632584000"
"16804603009","9759309160","200760","2008-12-22","147849000"
"91945392375","1566777427","583652","1997-05-31","391084000"
"91945392375","3228117033","836046","2000-09-02","391752000"
"91945392375","55س172","239534","1977-06-03","253080000"
"75796382046","9596782132","100024","2008-05-03","550464000"
"75796382046","35ق750","599746","1998-06-22","376456000"
